tconst,averageRating,numVotes
tt2294449,7,322987
tt3170832,8.2,322984
tt1650062,7,322281
tt0088847,7.9,322203
tt1632708,6.5,320014
tt0286106,6.7,319393
tt0964517,7.8,318945
tt0120912,6.2,318764
tt0119174,7.8,318192
tt0110475,6.9,317972
tt1065073,7.9,317814
tt5580390,7.3,316972
tt0396269,6.9,316727
tt1442437,8.4,316321
tt0230600,7.6,316293
tt0454848,7.6,316043
tt2381249,7.4,315927
tt0096895,7.5,315900
tt0395169,8.1,315846
tt1355644,7,315801
tt0099423,7.2,315515
tt1596363,7.8,314759
tt1409024,6.8,314755
tt1182345,7.9,314531
tt1068680,6.8,313244
tt1677720,7.5,312202
tt0357413,7.2,311142
tt0338751,7.5,310809
tt0328107,7.7,310322
tt1320253,6.5,310106
tt1587310,7,309551
tt0317919,6.9,309517
tt0363163,8.2,308966
tt0386676,8.8,308856
tt0162661,7.3,308641
tt0343660,6.8,306842
tt0111257,7.2,306794
tt0455944,7.2,306278
tt1231583,6.5,305892
tt1907668,7.3,305742
tt0377092,7,305478
tt1187043,8.4,305414
tt0118971,7.5,305160
tt0121955,8.7,304392
tt1193138,7.4,302840
tt0388795,7.7,302436
tt0298130,7.1,300696
tt0496806,6.9,299896
tt0119698,8.4,299365
tt0120667,5.7,299113
tt1104001,6.8,298208
tt1270797,6.7,298034
tt0238380,7.4,297970
tt0910936,7,296807
tt1453405,7.3,296150
tt0117500,7.4,295376
tt0213149,6.2,295179
tt0212338,7,294925
tt0462538,7.3,294389
tt0822854,7.2,293951
tt0166924,7.9,293824
tt0120755,6.1,293798
tt0091042,7.8,292966
tt0167190,6.8,292558
tt0081398,8.2,292134
tt0120601,7.7,290752
tt2380307,8.4,290595
tt0477347,6.4,290286
tt0425210,7.7,289504
tt0399201,6.8,289463
tt2788710,6.5,288600
tt1707386,7.6,288512
tt0119396,7.5,287937
tt0790724,7,287263
tt0077416,8.1,287198
tt0368891,6.8,287147
tt1403865,7.6,287120
tt0347149,8.2,287056
tt0970179,7.5,286713
tt1477834,7.1,286691
tt0389860,6.4,286301
tt0209163,6.3,286294
tt0182576,8.1,286214
tt2109248,5.6,285564
tt0433035,7.1,284953
tt1796960,8.3,282568
tt0360486,7,282322
tt1646971,7.8,282235
tt0087843,8.4,281791
tt2322441,4.1,281467
